BUDGET FISCAL YEAR,FTYP,FUNDTYPE,APPR,APPROPRIATION,Service Number,SERVICE,OBJECTGROUP,EXPENDITURE CLASSIFICATION,CURRENT BUDGET,ENCUMBRANCE,EXPENSES,ENCUMB&EXPENSE
2017,GNFD,General Fund,0001CTJ,Judiciary GF,1.05,Court Security,PS,Personnel Services,968426,0,526848.87,526848.87
2017,GNFD,General Fund,0001STS,Street Services GF,2.38,Rights-of-Way Maintenance Contracts and Inspections Group,QM,Supplies & Materials,108655,9798.35,38821.85,48620.2
2017,GNFD,General Fund,0001SEC,City Secretary's Office GF,5.07,Archives,QM,Supplies & Materials,1150,249.2,605.07000000000005,854.27
2017,INSV,Internal Service Fund,0199POM,Express Business Center POM,5.B,Business Services,PS,Personnel Services,444682,0,221446.59,221446.59
2017,GNFD,General Fund,0001ATT,City Attorney's Office GF,5.45,Litigation,PS,Personnel Services,4515171,0,2212065.47,2212065.47
2016,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.08,Construction Plan Review and Permitting,QV,Contractual & Other Services,4853623,331285.79,3704667.86,4035953.65
2017,GNFD,General Fund,0001BAC,Mgmt Services - Boards and Commissions,5.09,Boards and Commissions Liaison,QV,Contractual & Other Services,8556,897.68,2467.72,3365.4
2017,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,2.52,Water Capital Funding,QV,Contractual & Other Services,7181606,0,83968.38,83968.38
2017,GNFD,General Fund,0001ECO,Economic Development GF,2.11,Dallas Film Commission,QV,Contractual & Other Services,163263,102.92,1911.87,2014.79
2017,GNFD,General Fund,0001CCS,Code Compliance GF,3.1,Consumer Health,PS,Personnel Services,2537303,0,1071415.15,1071415.15
2017,GNFD,General Fund,0001ATT,City Attorney's Office GF,3.13,"Environ Enforcement, Compliance, and Support (Legal Service)",PS,Personnel Services,74295,0,35673.07,35673.07
2017,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,3.25,Wastewater Treatment,TR,Transfers Out,1253522,0,0,0
2017,GNFD,General Fund,0001DPD,Police Department GF,1.1499999999999999,Juvenile Case Managers/First Offender Program,PS,Personnel Services,481945,0,212438.64,212438.64
2017,GNFD,General Fund,0001CCO,City Controller's Office GF,5.24,Deferred Compensation,QM,Supplies & Materials,2000,0,109.68,109.68
2017,GNFD,General Fund,0001DPD,Police Department GF,9.99,Department Support,PS,Personnel Services,9646261,0,3605311.89,3605311.89
2017,GNFD,General Fund,0001PER,Human Resources GF,9.99,Department Support,QV,Contractual & Other Services,0,0,411.3,411.3
2017,EFOP,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,3.21,Storm Drainage Management Fund,QV,Contractual & Other Services,20206411,540709.75,4015893.44,4556603.19
2017,EFOP,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,2.19,Flood Control,RC,Capital Outlay,50000,412469.75,84100,496569.75
2017,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.04,Brush/Bulk Waste Removal Services,QV,Contractual & Other Services,6081302,40206.13,2021739.49,2061945.62
2017,GNFD,General Fund,0001CCS,Code Compliance GF,3.12,Dallas Animal Services,PS,Personnel Services,8667017,0,3688585.73,3688585.73
2017,EFOP,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,9.99,Department Support,PS,Personnel Services,0,0,882773.41,882773.41
2017,GNFD,General Fund,0001PER,Human Resources GF,5.39,Human Resource Consulting,QV,Contractual & Other Services,1063161,23797.58,298090.4,321887.98
2017,GNFD,General Fund,0001OCA,Office of Cultural Affairs GF,9.99,Department Support,PS,Personnel Services,398003,0,156058.08,156058.08
2017,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.0900000000000001,Fire and Rescue Emergency Response,QM,Supplies & Materials,4182483,248483.41,1030523.96,1279007.37
2016,GNFD,General Fund,0001DPD,Police Department GF,1.25,Police Intelligence,QV,Contractual & Other Services,395042,0,453569.8,453569.8
2017,GNFD,General Fund,0001ATT,City Attorney's Office GF,5.45,Litigation,QV,Contractual & Other Services,1279705,75065.96,497734.83,572800.79
2017,GNFD,General Fund,0001ICT,Mgmt Services - Internal Control Task Force,5.42,Internal Control Task Force,QM,Supplies & Materials,1500,0,421.51,421.51
2017,GNFD,General Fund,0001STS,Street Services GF,2.4700000000000002,Traffic Operations Maintenance,QM,Supplies & Materials,2333683,57381.79,996641.26,1054023.05
2016,GNFD,General Fund,0001OFS,Non-Departmental,5.46,Non-Departmental,QV,Contractual & Other Services,14679596,0,15059099.91,15059099.91
2017,EFOP,Enterprise Operating Fund,0164AVI,Transportation Regulation,2.36,Regulation and Enforcement of For Hire Transportation,QM,Supplies & Materials,144174,600,3277.71,3877.71
2017,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,3.24,Wastewater Collection,QV,Contractual & Other Services,1892198,81326.78,658919.29,740246.07
2017,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,2.5299999999999998,Water Production and Delivery,PS,Personnel Services,34627608,2140.7,17321632.54,17323773.24
2017,GNFD,General Fund,0001ECO,Economic Development GF,2.4,Small Business Initiatives,PS,Personnel Services,645707,0,340149.91,340149.91
2017,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.1000000000000001,Fire Dispatch and Communications,QV,Contractual & Other Services,9093440,50584.4,3782602.86,3833187.26
2016,GNFD,General Fund,0001DPD,Police Department GF,1.26,Police Investigation of Vice Related Crimes,QV,Contractual & Other Services,202584,0,164095.53,164095.53
2017,INSV,Internal Service Fund,0198DSV,Information Technology DSV,5.O,Public Safety Technology Support,PS,Personnel Services,2081237,0,808368.37,808368.37
2017,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.1399999999999999,Inspection and Life Safety Education,RE,Reimbursements,0,0,-218864.5,-218864.5
2017,GNFD,General Fund,0001ECO,Economic Development GF,2.0099999999999998,Area Redevelopment,QV,Contractual & Other Services,252378,0,14840.05,14840.05
2017,GNFD,General Fund,0001OFS,Non-Departmental,5.35,General Obligation Commercial Paper and Master Lease Program,QV,Contractual & Other Services,19300425,13.21,5006000.52,5006013.73
2017,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,9.99,Department Support,PS,Personnel Services,3820743,0,1165242.45,1165242.45
2017,EFOP,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,2.2000000000000002,Floodplain and Drainage Management,QM,Supplies & Materials,14542,68.849999999999994,6752.76,6821.61
2017,EFOP,Enterprise Operating Fund,0130AVI,Airport Operations AVI,2.12,Dallas Love Field,QV,Contractual & Other Services,49890265,4780177.35,15274276.89,20054454.24
2017,GNFD,General Fund,0001HOU,Housing GF,5.37,Housing Management/Contract Support,QM,Supplies & Materials,2000,2728.48,8316.69,11045.17
2017,GNFD,General Fund,0001CPE,Mgmt Services - Strategic Initiatives,5.13,Center for Performance Excellence,QV,Contractual & Other Services,226467,80794.87,64542.4,145337.27
2017,GNFD,General Fund,0001DPD,Police Department GF,1.21,Police Administrative Support,RE,Reimbursements,-325051,0,-68316.22,-68316.22
2017,INSV,Internal Service Fund,0196EBS,Equipment Services EBS,9.99,Department Support,PS,Personnel Services,1652299,0,794996.53,794996.53
2017,GNFD,General Fund,0001STS,Street Services GF,2.0499999999999998,Capital and Implementation Program,RE,Reimbursements,-5556811,0,-445831.6,-445831.6
2016,GNFD,General Fund,0001OCA,Office of Cultural Affairs GF,4.03,Cultural Services Contracts,QV,Contractual & Other Services,5254730,0,5438437.1,5438437.1
2017,GNFD,General Fund,0001OEQ,Mgmt Services - Environmental Quaity,3.01,Air Quality Compliance,PS,Personnel Services,660902,0,294663.4,294663.4
2017,INSV,Internal Service Fund,0196EBS,Equipment Services EBS,5.H,Environmental Services for City Fleet Operations,QM,Supplies & Materials,67726,631.94000000000005,2509.06,3141
2017,INSV,Internal Service Fund,0196EBS,Equipment Services EBS,9.99,Department Support,QV,Contractual & Other Services,54406,103482.1,1705846.15,1809328.25
2017,GNFD,General Fund,0001PKR,Park and Recreation GF,4.04,Golf and Tennis Centers,RC,Capital Outlay,0,0,38337.6,38337.6
2016,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,3.25,Wastewater Treatment,QV,Contractual & Other Services,14157438,440142.1,15188686.45,15628828.55
2017,GNFD,General Fund,0001BMS,Office of Financial Services GF,5.19,Citywide Capital and Operating Budget Dev and Monitoring,QV,Contractual & Other Services,320223,0,244606.6,244606.6
2017,GNFD,General Fund,0001PKR,Park and Recreation GF,4.04,Golf and Tennis Centers,PS,Personnel Services,3008137,0,1395358.35,1395358.35
2017,GNFD,General Fund,0001CTS,Court and Detention Services GF,1.17,Municipal Court Services,QV,Contractual & Other Services,1556254,112249.41,883761.64,996011.05
2017,GNFD,General Fund,0001DPD,Police Department GF,1.29,Police Operational Support,QV,Contractual & Other Services,3741668,621527.73,533016.68,1154544.41
2017,GNFD,General Fund,0001STS,Street Services GF,2.4700000000000002,Traffic Operations Maintenance,PS,Personnel Services,4033088,0,1621416.68,1621416.68
2017,GNFD,General Fund,0001OCA,Office of Cultural Affairs GF,4.03,Cultural Services Contracts,PS,Personnel Services,423799,0,177374.62,177374.62
2017,GNFD,General Fund,0001PER,Human Resources GF,5.39,Human Resource Consulting,QM,Supplies & Materials,10405,391.05,2164.75,2555.8
2017,GNFD,General Fund,0001EBS,Building Services GF,5.17,"City Facility Operation, Maintenance and Repair",QV,Contractual & Other Services,4006384,723236.08,1497310.89,2220546.97
2017,GNFD,General Fund,0001CVS,Civil Service GF,5.2,Civil Service Board Administration/Employee Appeals Process,QV,Contractual & Other Services,82273,3305.23,12911.1,16216.33
2017,GNFD,General Fund,0001ATT,City Attorney's Office GF,3.06,Code Litigation,QV,Contractual & Other Services,138766,1246.92,10117.09,11364.01
2017,GNFD,General Fund,0001LIB,Library GF,4.07,Library Operations & Public Service,QV,Contractual & Other Services,3202341,164002.68,1620542.07,1784544.75
2017,GNFD,General Fund,0001ECO,Economic Development GF,2.13,Economic Development Major Projects & Other Programs,QV,Contractual & Other Services,321977,46900.93,52038.81,98939.74
2017,GNFD,General Fund,0001CCS,Code Compliance GF,3.12,Dallas Animal Services,QV,Contractual & Other Services,3127634,254675.48,1735259.19,1989934.67
2017,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,3.26,Water Conservation,QV,Contractual & Other Services,2772119,294719.88,476587.73,771307.61
2016,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.16,Landfill Services,QV,Contractual & Other Services,10021141,152429.59,8482610.71,8635040.3
2016,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,2.5299999999999998,Water Production and Delivery,QV,Contractual & Other Services,12597849,577686.25,11347419.71,11925105.96
2017,GNFD,General Fund,0001HOU,Housing GF,2.2400000000000002,Home Ownership/Development,QM,Supplies & Materials,5598,1643.52,7122.1,8765.62
2017,GNFD,General Fund,0001DEV,Sustainable Dev and Construction GF,2.23,Historic Preservation,QV,Contractual & Other Services,165309,44.5,31745.28,31789.78
2017,GNFD,General Fund,0001EAD,Mgmt Services - Ethics and Diversity,5.3,Ethics and Diversity,QV,Contractual & Other Services,23298,51.46,5221.8,5273.26
2017,GNFD,General Fund,0001STS,Street Services GF,2.39,Service Maintenance Areas,RE,Reimbursements,-3000975,0,-3008.88,-3008.88
2017,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.15,Engineering & Inspection Review for Private Development,PS,Personnel Services,2516815,0,1140506.84,1140506.84
2017,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.2200000000000002,GIS Mapping for Private Development,PS,Personnel Services,779880,0,270516.98,270516.98
2017,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,9.99,Department Support,QV,Contractual & Other Services,0,0,142133.6,142133.6
2017,GNFD,General Fund,0001LIB,Library GF,4.08,"Literacy Initiatives, Education & Community Engagement",PS,Personnel Services,750161,0,373102.01,373102.01
2017,GNFD,General Fund,0001PER,Human Resources GF,5.21,Compensation Analysis / Classification,QV,Contractual & Other Services,145024,0,12722.53,12722.53
2017,GNFD,General Fund,0001CCS,Code Compliance GF,3.17,Neighborhood Code Compliance Services,RC,Capital Outlay,401438,158888,241860,400748
2017,GNFD,General Fund,0001HOU,Housing GF,5.37,Housing Management/Contract Support,QV,Contractual & Other Services,20038,4518.4,71595.59,76113.99
2017,GNFD,General Fund,0001STS,Street Services GF,2.4700000000000002,Traffic Operations Maintenance,RE,Reimbursements,-784449,0,-250526.44,-250526.44
2017,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,5.55,Water Utilities Customer Account Services,PS,Personnel Services,15329486,351.5,7647540.27,7647891.77
2017,GNFD,General Fund,0001PKR,Park and Recreation GF,4.05,Leisure Venue Management,QV,Contractual & Other Services,17232471,0,11525877.65,11525877.65
2017,OTHO,Other Operating Fund,0286PER,Wellness Program Fund,5.R,Wellness Program,TR,Transfers Out,14058,0,0,0
2017,INSV,Internal Service Fund,0196EBS,Equipment Services EBS,9.99,Department Support,QM,Supplies & Materials,13615,585.44000000000005,11688.37,12273.81
2017,GNFD,General Fund,0001STS,Street Services GF,2.41,Street Cut and Right-of-Way Management (Cut Control),QM,Supplies & Materials,14028,0,3661.77,3661.77
2017,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,5.54,"Water Planning, Financial and Rate Services",QM,Supplies & Materials,234550,4421.66,35537.84,39959.5
2017,INSV,Internal Service Fund,0198DSV,Information Technology DSV,5.Q,Strategic Technology Management,RE,Reimbursements,-2457625,0,-832358.51,-832358.51
2017,GNFD,General Fund,0001STS,Street Services GF,9.99,Department Support,QV,Contractual & Other Services,19480,10528.89,101208.78,111737.67
2017,GNFD,General Fund,0001EBS,Building Services GF,2.0699999999999998,Capital Facilities,QV,Contractual & Other Services,220840,1444.26,19971.56,21415.82
2017,GNFD,General Fund,0001STL,Street Lighting,2.42,Street Lighting,QV,Contractual & Other Services,1306926,68112.06,142499.16,210611.22
2017,GNFD,General Fund,0001DPD,Police Department GF,1.24,Police Field Patrol,RE,Reimbursements,-350000,0,-9068.27,-9068.27
2017,GNFD,General Fund,0001DPD,Police Department GF,1.23,Police Criminal Investigations,RE,Reimbursements,-236000,0,-118384.3,-118384.3
2017,GNFD,General Fund,0001STS,Street Services GF,2.48,Traffic Safety and Congestion Management,RE,Reimbursements,-40500,0,-15313.06,-15313.06
2017,EFOP,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,2.19,Flood Control,QM,Supplies & Materials,2975519,164574.02,984299.52,1148873.54
2017,GNFD,General Fund,0001BAC,Mgmt Services - Boards and Commissions,5.09,Boards and Commissions Liaison,PS,Personnel Services,74200,0,36440.36,36440.36
2017,GNFD,General Fund,0001STS,Street Services GF,2.4300000000000002,Street Repair Division - Asphalt,RC,Capital Outlay,0,0,42030,42030
2017,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.08,Construction Plan Review and Permitting,QM,Supplies & Materials,360658,7888.2,71013.7,78901.9
2016,GNFD,General Fund,0001DPD,Police Department GF,1.2,Police Academy and In-service Training,QV,Contractual & Other Services,1722191,844.02,2277539.37,2278383.39
2017,GNFD,General Fund,0001ICT,Mgmt Services - Internal Control Task Force,5.42,Internal Control Task Force,PS,Personnel Services,342929,0,160658.06,160658.06
2016,GNFD,General Fund,0001CCO,City Controller's Office GF,5.24,Deferred Compensation,QV,Contractual & Other Services,56850,0,29862.67,29862.67
2017,INSV,Internal Service Fund,0199POM,Express Business Center POM,5.B,Business Services,QM,Supplies & Materials,3559143,197447.57,1756501.2,1953948.77
2017,GNFD,General Fund,0001OCA,Office of Cultural Affairs GF,4.0199999999999996,City-Owned Cultural Venues,QM,Supplies & Materials,2957589,141569.7,751577.35,893147.05
2017,GNFD,General Fund,0001STS,Street Services GF,2.0499999999999998,Capital and Implementation Program,QV,Contractual & Other Services,664839,144264.11,89923.89,234188
2017,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,9.99,Department Support,QV,Contractual & Other Services,1550619,32434.61,35577.48,68012.09
2017,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,5.26,DWU General Expense,QV,Contractual & Other Services,67890660,300991.63,27956559.11,28257550.74
2017,GNFD,General Fund,0001LIB,Library GF,4.0599999999999996,Library Materials & Collection Management,RC,Capital Outlay,3345000,862812.54,1553604.25,2416416.79
2017,EFOP,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,2.2000000000000002,Floodplain and Drainage Management,QV,Contractual & Other Services,744157,33750.11,126437.54,160187.65
2017,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.33,Special Operations,QV,Contractual & Other Services,336411,131270.98,364206.03,495477.01
2017,GNFD,General Fund,0001CCO,City Controller's Office GF,5.32,Financial Reporting,PS,Personnel Services,2021051,0,764549.12,764549.12
2017,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.33,Special Operations,QM,Supplies & Materials,172884,7679.92,60602.25,68282.17
2017,GNFD,General Fund,0001SEC,City Secretary's Office GF,5.16,City Council Support,PS,Personnel Services,567028,0,243108.8,243108.8
2017,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.16,Express Plan Review,QV,Contractual & Other Services,22700,1950.55,12096.97,14047.52
2017,GNFD,General Fund,0001PKR,Park and Recreation GF,4.09,Park Land Maintained,PS,Personnel Services,17613205,0,8930647.25,8930647.25
2017,GNFD,General Fund,0001SEC,City Secretary's Office GF,5.5,Records Management,QM,Supplies & Materials,1200,0,562.63,562.63
2017,GNFD,General Fund,0001HOU,Housing GF,2.2400000000000002,Home Ownership/Development,RE,Reimbursements,-633619,0,-35432.91,-35432.91
2016,INSV,Internal Service Fund,0196EBS,Equipment Services EBS,5.F,City Fleet Paint and Body Shop Coordination,QV,Contractual & Other Services,1118281,4433.1,1345560.82,1349993.92
2017,GNFD,General Fund,0001PER,Human Resources GF,5.21,Compensation Analysis / Classification,QM,Supplies & Materials,1231,0,290.63,290.63
2017,GNFD,General Fund,0001EBS,Building Services GF,5.17,"City Facility Operation, Maintenance and Repair",QM,Supplies & Materials,2178106,460450.92,1151924.95,1612375.87
2016,GNFD,General Fund,0001AUD,City Auditor's Office GF,5.08,"Audits, Attestations and Investigations",QV,Contractual & Other Services,197232,0,175566.45,175566.45
2017,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.17,Field Inspections of Private Development Construction Sites,QM,Supplies & Materials,187481,5490.73,63878.73,69369.46
2017,GNFD,General Fund,0001CCO,City Controller's Office GF,5.32,Financial Reporting,QV,Contractual & Other Services,1157242,138788.24,227459.98,366248.22
2016,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,2.5299999999999998,Water Production and Delivery,RC,Capital Outlay,1161673,44755,830383.34,875138.34
2017,EFOP,Enterprise Operating Fund,0080CCT,Convention Center CCT,2.09,Convention Center Debt Service Payment,TR,Transfers Out,22524413,0,12600000,12600000
2017,GNFD,General Fund,0001DPD,Police Department GF,1.25,Police Intelligence,RE,Reimbursements,-86500,0,-77455.64,-77455.64
2016,INSV,Internal Service Fund,0197DSV,Radio Services DSV,5.M,Internal Radio Communication,QV,Contractual & Other Services,2351311,1954.35,2279041.17,2280995.52
2017,GNFD,General Fund,0001LIB,Library GF,4.0599999999999996,Library Materials & Collection Management,PS,Personnel Services,1153420,0,508178.47,508178.47
2017,GNFD,General Fund,0001PKR,Park and Recreation GF,4.0999999999999996,"Planning, Design, Construction & EMS and Environ Compliance",PS,Personnel Services,2674331,0,1321500.86,1321500.86
2017,GNFD,General Fund,0001DPD,Police Department GF,1.2,Police Academy and In-service Training,PS,Personnel Services,20444087,0,6656862.65,6656862.65
2017,GNFD,General Fund,0001BMS,Office of Financial Services GF,9.99,Department Support,QM,Supplies & Materials,0,22,3865.11,3887.11
2017,GNFD,General Fund,0001CVS,Civil Service GF,5.05,Applicant Processing - Civilian,PS,Personnel Services,730752,0,344853.72,344853.72
2017,EFOP,Enterprise Operating Fund,0140OCA,Municipal Radio OCA,4.13,WRR Municipal Radio Classical Music,QV,Contractual & Other Services,657942,144010.94,325591.17,469602.11
2017,GNFD,General Fund,0001DEV,Sustainable Dev and Construction GF,2.35,Real Estate and Relocation,PS,Personnel Services,2218916,0,1131470.41,1131470.41
2017,GNFD,General Fund,0001OCA,Office of Cultural Affairs GF,4.1100000000000003,Public Art for Dallas,PS,Personnel Services,287008,0,140331.2,140331.2
2016,EFOP,Enterprise Operating Fund,0080CCT,Convention Center CCT,2.29,Office of Special Events,QV,Contractual & Other Services,35684,0,21093.13,21093.13
2017,GNFD,General Fund,0001PKR,Park and Recreation GF,2.2999999999999998,Operation & Maintenance of Fair Park,QM,Supplies & Materials,2089680,151097.03,1364411.17,1515508.2
2017,GNFD,General Fund,0001PNV,Planning and Urban Design GF,9.99,Department Support,QV,Contractual & Other Services,30620,0,24680.81,24680.81
2017,GNFD,General Fund,0001SEC,City Secretary's Office GF,5.0999999999999996,Boards and Commissions Support,PS,Personnel Services,267567,0,132845.5,132845.5
2017,GNFD,General Fund,0001DPD,Police Department GF,9.99,Department Support,QV,Contractual & Other Services,159568,225533.08,338165.45,563698.53
2017,GNFD,General Fund,0001DPD,Police Department GF,1.26,Police Investigation of Vice Related Crimes,QM,Supplies & Materials,74154,0,14234.09,14234.09
2017,GNFD,General Fund,0001DPD,Police Department GF,1.31,Police Special Operations,PS,Personnel Services,32823667,0,15931664.12,15931664.12
2017,GNFD,General Fund,0001CCO,City Controller's Office GF,5.47,Payroll,QV,Contractual & Other Services,88442,50954.14,29042.27,79996.41
2017,GNFD,General Fund,0001DEV,Sustainable Dev and Construction GF,2.02,Authorized Hearings,PS,Personnel Services,314815,0,158439.08,158439.08
2017,GNFD,General Fund,0001ATT,City Attorney's Office GF,3.13,"Environ Enforcement, Compliance, and Support (Legal Service)",QV,Contractual & Other Services,22119,92.62,2379.11,2471.73
2017,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,5.53,Vital Statistics,QM,Supplies & Materials,84219,22989.75,17902.17,40891.92
2017,GNFD,General Fund,0001CVS,Civil Service GF,5.04,Analysis/Development and Validation,PS,Personnel Services,590508,0,221917.15,221917.15
2017,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,2.54,Water Utilities Capital Program Management,QM,Supplies & Materials,217110,9309.98,53109.43,62419.41
2017,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,3.25,Wastewater Treatment,RC,Capital Outlay,282900,38502.5,54700.3,93202.8
2017,GNFD,General Fund,0001OCA,Office of Cultural Affairs GF,4.1100000000000003,Public Art for Dallas,RE,Reimbursements,-208739,0,-19468.98,-19468.98
2017,GNFD,General Fund,0001CMO,City Manager's Office GF,5.14,City Administration,QM,Supplies & Materials,4500,412.5,2907.44,3319.94
2017,GNFD,General Fund,0001ECO,Economic Development GF,2.04,Business Development,QV,Contractual & Other Services,408193,140.91,86389.84,86530.75
2017,GNFD,General Fund,0001IGS,Mgmt Services - Intergovernmental Services,5.41,Intergovernmental Services,QM,Supplies & Materials,6205,0,865.18,865.18
2017,GNFD,General Fund,0001DPD,Police Department GF,1.29,Police Operational Support,QM,Supplies & Materials,462062,76083.8,342207.17,418290.97
2016,GNFD,General Fund,0001DPD,Police Department GF,1.24,Police Field Patrol,QM,Supplies & Materials,3844842,0,3668977.54,3668977.54
2016,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.1200000000000001,Fire Training and Recruitment,QV,Contractual & Other Services,1436597,0,885166.56,885166.56
2017,GNFD,General Fund,0001PER,Human Resources GF,5.38,HRIS and HR Payroll Services,QM,Supplies & Materials,7098,0,1283.07,1283.07
2017,GNFD,General Fund,0001POM,Business Development & Procurement GF,5.49,Purchasing/Contract Management,QV,Contractual & Other Services,271867,4848.89,116428.93,121277.82
2017,GNFD,General Fund,0001ATT,City Attorney's Office GF,5.34,General Counsel,QM,Supplies & Materials,12299,495,12214.71,12709.71
2017,GNFD,General Fund,0001HOU,Housing GF,3.08,Community/Senior Services,RE,Reimbursements,-50000,0,-9051.46,-9051.46
2017,GNFD,General Fund,0001DPD,Police Department GF,1.24,Police Field Patrol,QM,Supplies & Materials,3972526,32707.09,1483768.86,1516475.95
2017,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.1100000000000001,Fire Investigation & Explosive Ordnance Disposal,QM,Supplies & Materials,45045,7014.69,16373.41,23388.1
2017,GNFD,General Fund,0001CCO,City Controller's Office GF,5.24,Deferred Compensation,QV,Contractual & Other Services,47474,1754.2,3989.12,5743.32
2017,GNFD,General Fund,0001STS,Street Services GF,2.48,Traffic Safety and Congestion Management,QV,Contractual & Other Services,811113,200044.38,464223.42,664267.8
2017,GNFD,General Fund,0001FHO,Mgmt Services - Fair Housing,5.31,Fair Housing and Human Rights Compliance,PS,Personnel Services,132500,0,65277.52,65277.52
2017,GNFD,General Fund,0001DPD,Police Department GF,1.2,Police Academy and In-service Training,QM,Supplies & Materials,650295,21106.2,209102.8,230209
2017,INSV,Internal Service Fund,0198DSV,Information Technology DSV,5.C,Business Technology Services,QV,Contractual & Other Services,17338059,4454366.91,4061558.39,8515925.3
2017,GNFD,General Fund,0001STS,Street Services GF,2.38,Rights-of-Way Maintenance Contracts and Inspections Group,QV,Contractual & Other Services,9777733,531667.48,2635662.06,3167329.54
2017,GNFD,General Fund,0001ELE,Elections,5.27,Elections,QV,Contractual & Other Services,1304133,119.44,818139.11,818258.55
2017,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,2.5299999999999998,Water Production and Delivery,QV,Contractual & Other Services,14505246,1443980.24,4336670.01,5780650.25
2016,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,2.52,Water Capital Funding,WB,Debt Svc-Interest On Bonds,29300000,1036.73,27194446.05,27195482.78
2017,GNFD,General Fund,0001STS,Street Services GF,2.2599999999999998,Interagency and Transportation Administration,RE,Reimbursements,-772450,0,-46795.31,-46795.31
2017,GNFD,General Fund,0001DPD,Police Department GF,1.26,Police Investigation of Vice Related Crimes,PS,Personnel Services,3943181,0,1845256.58,1845256.58
2017,INSV,Internal Service Fund,0196EBS,Equipment Services EBS,5.E,City Fleet Maintenance and Repair Services,QM,Supplies & Materials,8567036,175228.76,4248397.65,4423626.41
2016,GNFD,General Fund,0001CTS,Court and Detention Services GF,1.17,Municipal Court Services,QV,Contractual & Other Services,1522990,4144.2,1666639.59,1670783.79
2017,GNFD,General Fund,0001HOU,Housing GF,3.08,Community/Senior Services,QV,Contractual & Other Services,1940445,310786.88,862223.95,1173010.83
2017,EFOP,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,3.22,Stormwater Regulations & Enforcement,PS,Personnel Services,4557065,0,1947686.09,1947686.09
2017,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,5.54,"Water Planning, Financial and Rate Services",PS,Personnel Services,1851821,0,896500.33,896500.33
2016,GNFD,General Fund,0001BMS,Office of Financial Services GF,9.99,Department Support,QV,Contractual & Other Services,420,34.99,13415.87,13450.86
2017,GNFD,General Fund,0001DPD,Police Department GF,1.24,Police Field Patrol,PS,Personnel Services,243251881,0,108416926.03,108416926.03
2016,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.0900000000000001,Fire and Rescue Emergency Response,QV,Contractual & Other Services,2702444,0,2267735.09,2267735.09
2017,GNFD,General Fund,0001CCO,City Controller's Office GF,5.24,Deferred Compensation,PS,Personnel Services,170993,0,83110.19,83110.19
2016,GNFD,General Fund,0001CCO,City Controller's Office GF,5.12,Cash and Debt Management,WB,Debt Svc-Interest On Bonds,48294,1036.73,22194.27,23231
